年份,地区,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),非农业人口数(万人),年平均人口(万人),自然增长率(‰),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),教育业从业人员数(万人),在岗职工平均人数(万人),在岗职工工资总额(万元),职工平均工资(元),地区生产总值增长率(%),规模以上工业企业数(个),规模以上工业总产值(当年价，万元),产品销售收入(万元),利税总额(万元),流动资产合计(万元),固定资产投资总额(万元),当年实际使用外资金额(万美元),地方财政一般预算内收入(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校在校学生数(人),专利授权数(件),发明专利授权数(件),货运总量(万吨),人口密度(人／平方公里)
2017,嘉兴,43805200,,,,,,,94510,356,,354,3.63,0.039,50.29,28.806,5.724,69,5726639,82934,,5394,,,,46820340,,299452,4437941,4947026,202514,1020834,59738994,73447081,34063490,,18244,1850,,
2016,嘉兴,38621104,1371049.192,20106146.74,17147770.18,3.55,52.06,44.4,83968,352,,351,3.29,0.049,52.163,28.333,5.529,70,5165763,73836,7.05,5051,78829406,,,42702264,27901555,269240,3879341,4421926,179357,897234,51852269,66302180,32455855,65441,,,,
2015,嘉兴,35178068,1389533.686,18507181.58,15281352.74,3.95,52.61,43.44,76850,349.48,,348.8,0.89,0.054,53.054,27.804,5.46,71,4778187,67689,7,5154,75693085,,,40128223,25138180,268427,3503450,4241331,163574,888079,47183455,57754133,29492383,52713,,,,891
2014,嘉兴,33526045,1448325.144,18137590.35,13940129.51,4.32,54.1,41.58,73458,348.1,,347,3.1,0.064,52.414,27.598,5.442,56,3347183,60309.6,7.52,5005,74637540,,,38908657,22212077,249577,3070675,3349028,140870,756642,43931643,55138654,27015761,65722,,,18185,889
2013,嘉兴,31476636,1554945.818,17268082.51,12653607.67,4.94,54.86,40.2,90973,345.9,,345.2,1.2,0.07,53.05,26.63,5.29,72,3879595,53965.71,8.89,4707,68936724,,,35690340,19101518,220676,2823092,3033633,120567,708107,38600250,50726871,24382135,63731,,,17267,884
2012,嘉兴,28905730,1514660.252,16031117.86,11359951.89,5.24,55.46,39.3,63704,344.5,,343.8,1.5,0.08,53.09,26.02,5.16,73,3512573,48329.29,8.7,4324,60399321,,,31450076,16423109,178159,2577319,2607030,104554,649278,34195265,44530697,21444946,60753,,,16876,880
2011,嘉兴,26770874,1426887.584,15371835.85,9969473.478,5.33,57.42,37.24,59256,343.1,,342.3,0.3,0.12,53.79,25.15,4.98,75,3230381,42985.78,10.6,3987,57633603,,,27988421,14882661,172066,2264023,2406148,94763,556019,32127393,41681674,18804510,56821,,,16869,876
2010,嘉兴,23002027,1269711.89,13396380.53,8335934.585,5.52,58.24,36.24,52143,341.6,,340.6,0.66,0.09,56.48,23.84,4.84,77,2784095,36317.44,13.7,7311,51028508,,,25051275,14882636,160994,1768297,1990633,75362,429316,27536395,35908226,16297075,52351,,,16004,873
2009,嘉兴,19180282,1076013.82,11124563.56,6979704.62,5.61,58,36.39,44898,339.6,,338.8,-0.12,0.11,53.28,22.62,4.68,72,2302949,31963.21,9.31,6819,38639862,,,19690840,12334071,133460,1417039,1611135,59007,348888,22786501,29042125,13856243,38932,,,10783,867
2008,嘉兴,18152979,1054688.08,10853666.14,6244624.776,5.81,59.79,34.4,43129,338.07,130.14,,-0.45,0.16,53.64,20.8,4.46,74,2149975,29219.56,10.66,6728,38394273,35503401,,,10066869,135975,1268694,1359199,52238,326028,16038436,21862400,11553785,36832,,,10670,864
2007,嘉兴,15853145,970212.474,9497619.169,5385313.356,6.12,59.91,33.97,47157,336.81,120.36,,-0.18,0.14,53.08,18.99,4.28,69,1803911,26004.19,14.5,5986,33381612,32914819,,,9000134,166228,1052352,1074227,41431,262182,13515371,17960930,9074849,30173,,,10463,860
2006,嘉兴,13466481,882054.506,8071808.711,4512617.783,6.55,59.94,33.51,40206,335.55,115.99,,0.12,0.15,50.58,17.99,4.13,65,1478092,22625.01,13.9,5389,26890978,26501423,,,8002118,122178,815470,863478,8716,190224,11447082,15832790,8504255,25540,,,10084,857
2005,嘉兴,11596615,844233.572,6818809.62,3932412.146,7.28,58.8,33.91,34706,334.33,112.2,,-0.12,0.15,44.12,16.92,3.97,59,1208281,20647.32,13.2,4497,21789594,21588658,,,7034577,115666,667918,734502,5792,159676,9605064,13417470,7371382,21298,,,9456,854
2004,嘉兴,10505564,778462.292,6350613.438,3376488.27,7.41,60.45,32.14,31506,333.94,108.42,,0.81,0.26,30.27,15.57,3.65,43,900285,20700.97,16.46,2836,14006318,13813601,738862,,6336985,102187,548923,597174,4958,133220,8773576,11660432,6321092,17665,,,7919,853
2003,嘉兴,8580276,683847.997,5086387.613,2810040.39,7.97,59.28,32.75,25792,332.96,101.31,,-0.07,0.34,13.51,16.04,3.76,28,579688,20777.35,16.9,2526,11135272,10877568,1147433,,5255300,79768,412175,472366,3762,104481,7578288,10279478,5414963,18677,,,7344,850
2002,嘉兴,7064295,616712.954,4037951.022,2409631.024,8.73,57.16,34.11,21268,332.38,85.1,,0.83,0.45,12.55,15.46,,27,477485,17876.64,13.8,1777,7874832,7659490,801672,,2126435,48054,316900,385400,,,,,4364000,17463,,,6624,849
2001,嘉兴,6042610,635078.311,3336124.981,2072010.969,10.51,55.21,34.29,18223,331.93,83.55,331.6,1.01,0.46,11.93,14.84,,26,404765,15355.27,,1303,6425095,6208068,669318,,1921678,27067,297300,310700,,,,,3724300,11551,,,5955,848
2000,嘉兴,5410181,600530.091,3175776.247,1633874.662,11.1,58.7,30.2,,331.25,78.59,,2.5,0.59,13.29,15.59,,29,352453,12149,12.3,1277,5755223,5533605,592844,,1796467,15318,192000,215200,,,,,3268900,7721,,,6030,846
1999,嘉兴,4718859,552106.503,2812439.964,1349593.674,11.7,59.6,28.6,,330.19,76.18,,1.19,0.61,15.37,16.11,,32,318680,9956,11.21,1355,4758410,4504966,390216,,1246296,12300,131700,155900,,,,,,4061,,,5474,843
1998,嘉兴,4450356,596347.704,2643511.464,1210496.832,13.4,59.4,27.2,,329.91,73.21,,7.25,0.63,17.25,17.18,,35,302501,8650,10.4,,,4118482,292620,,1726893,12128,,,,,,,,3511,,,4456,843
1997,嘉兴,4197460,634655.952,2481538.352,1081265.696,15.12,59.12,25.76,,329.29,70.35,,3.17,76.86,81.05,41.72,,40,304829,7602,10.46,,,4278527,269276,,1442108,14780,,,,,,,,3103,,,4566,841
1996,嘉兴,3816972,614532.492,2206209.816,996229.692,16.1,57.8,26.1,,328.05,68.2,,4.43,77.79,86.18,40.74,,,281420,6804,17.2,,,4034834,248495,,616277,12158,,,,,,,,2743,,,4588,838
1995,嘉兴,3212716,568650.732,1847311.7,796753.568,17.7,57.5,24.8,,326.39,66.81,,5.09,80.49,85.41,39.42,,,264438,6229,-2.9,,,3776393,211244,,414162,8019,,,,,,,,2526,,,4708,834
1994,嘉兴,2559932,496698,1492087,571147,19.403,58.286,22.311,,324.46,63.96,,5.4,88.73,86.81,37.75,,,221922,5347.52,,,,2967052,203626,,349466,4983,,,,,,,,2442,,,3703,826
1993,嘉兴,1780900,,,,,,,,322.57,62.49,,5.9,,,,,,,,,,,,,,233077,,142894,67513,,11716,,,,2170,,,3438,824
1992,嘉兴,1133200,,,,,,,,320.61,61.17,,6.2,,,,,,,,,,,,,,146619,,109758,51579,,9086,,,,,,,3255,819
1991,嘉兴,912500,249300,475100,188100,27.321,52.066,20.614,2876,318.3,58.92,317.2,6.06,106.17,76.64,33.31,,,105767,,,,,1307550,107497,,96422,640,106743,46405,,,,,,1836,,,2561,813
1990,嘉兴,813300,249700,405600,158000,30.702,49.871,19.427,2582,316.19,58.39,314.9,7.2,105.24,74.64,33.44,,,94589,,,,,1069435,93729,,63581,86,101237,42872,,,,,,1827,,,2064,808
2022,湖州,38500000,1613150,19661950,17224900,4.19,51.07,44.74,112902,269,,,,,,,,46,5422932,,3.3,4251,,,,46721870,,,3872962,6019198,262508,1049752,87848158,77521788,,,18954,2232,,
2021,湖州,36450000,1490805,18651465,16311375,4.09,51.17,44.75,107534,269,,,,,,,,48,5113857,106718,9.5,4082,,,,39458794,,,4135188,5244939,225487,966992,71860452,67229924,,,20216,2036,,
2020,湖州,32010000,1398837,15880161,14731002,4.37,49.61,46.02,95579,,,,,,,,,48,4548212,97620,3.26,3792,,,,31858800,,,3365565,4844230,195052,841881,59234682,58566987,,,17712,1352,,
2019,湖州,31220000,1339338,15953420,13933486,4.29,51.1,44.63,102593,268,,267,1.7,0.025,29.576,19.376,3.776,42,3809657,89631,7.9,3609,,,,27368519,,189881,3160702,4668656,187149,768283,48184632,51637465,24449737,,16419,1256,,
2018,湖州,27190675,1277961.725,12736112.17,13176601.11,4.7,46.84,48.46,90304,267,,267,1.88,0.016,29.812,17.544,3.327,41,3306475,81617,8.05,3049,,,,24104877,,127143,2870960,3975433,157795,699078,38715321,45140784,21213667,,18672,1831,,
2017,湖州,24761300,,,,,,,82952,266,,265,2.7,0.026,32.518,17.836,3.284,42,3057077,72335,,2945,,,,22343231,,105320,2374308,3250181,112968,636727,32668208,39630456,19046429,,12025,2190,,
2016,湖州,22843743,1274680.859,10994693.51,10574368.64,5.58,48.13,46.29,77110,265,,264,2.91,0.02,32.67,17.536,3.247,44,2853385,65051,7.64,2806,46060507,,,20778856,15921759,100131,2111792,2886169,93215,581217,27403590,34768018,17447634,26668,,,,
2015,湖州,20842666,1223464.494,10267097.27,9352104.234,5.87,49.26,44.87,70894,263.71,,263.8,0.41,0.015,32.86,17.183,3.202,42,2585986,61201,8.32,2752,44131008,,,18883502,14026428,94188,1913116,2737406,83942,533475,25098339,30346398,15481478,32199,,,,454
2014,湖州,19559985,1202939.078,9991240.338,8365805.585,6.15,51.08,42.77,66917,263.8,,263.1,3.4,0.026,32.467,16.936,3.223,43,2406848,56445.78,8.42,2719,42013960,,,17776984,12429184,98419,1678400,2245670,69814,464525,23249508,27560543,13699495,26988,,,13202,453
2013,湖州,18031501,1254992.47,9531451.429,7243253.952,6.96,52.86,40.17,68823,262.5,,261.9,2.3,0.03,31.82,16.37,3.2,42,2148619,51637.08,8.34,2577,38280173,,,16266830,10700473,105860,1546646,1675076,60105,415340,21454291,25779300,12437968,26673,,,16628,451
2012,湖州,16643045,1226592.416,8864085.767,6552366.816,7.37,53.26,39.37,57350,261.4,,261.2,-0.4,0.02,31.37,15.74,3.09,40,1871993,46290.63,9.67,2428,33338320,,,14905565,9707282,102599,1385508,1675076,51861,371108,18522820,22333437,10784617,26153,,,19467,449
2011,湖州,15200553,1162842.304,8176377.459,5861333.237,7.65,53.79,38.56,52477,261.1,,260.5,1.2,0.02,27.79,13.63,2.89,37,1538746,41106.89,10.8,2309,28900459,,,13288863,8046706,94038,1221200,1517340,45753,321089,17121700,21020466,9544396,25329,,,20103,449
2010,湖州,13017294,1042685.249,7150399.594,4825510.886,8.01,54.93,37.07,45323,259.98,,259.6,0.09,0.02,25.07,12.82,2.81,35,1287793,36485.42,12.1,3561,26665326,,,11400558,7199765,91905,972655,1271209,36729,251107,14613222,18056148,8216820,24768,,,18108,447
2009,湖州,11018263,902395.74,6064451.955,4051415.305,8.19,55.04,36.77,38865,259.17,,258.8,0.16,0.02,21.74,12.19,2.73,31,1065337,33841.71,10.2,3371,21980861,,,8723091,6386873,81095,800106,1085102,32490,215076,11507123,13976868,6883264,24409,,,16353,445
2008,湖州,10348945,825845.811,5935119.958,3586944.337,7.98,57.35,34.66,40089,258.5,80.75,,0.18,0.03,20.57,12.1,2.72,31,966985,31456.9,10.62,3069,21384957,20259788,,,5252356,80206,716116,864170,28155,180979,7758433,10018004,5390516,23468,,,16604,444
2007,湖州,8920238,695778.564,5107728.279,3116731.157,7.8,57.26,34.94,34596,257.8,79.61,,0.69,0.03,18.08,11.1,2.71,27,767912,28504.53,14.4,2567,17605167,16963385,,,4583411,84363,616780,688180,23294,153279,6559080,8012836,4139781,21096,,,16379,443
2006,湖州,7610154,655995.275,4351486.057,2602672.668,8.62,57.18,34.2,29527,257.89,78.41,,0.56,0.03,16.1,10.63,2.61,25,643476,26041.12,13.99,2339,13855297,13354446,,,4797505,75702,497923,559348,3254,110268,5487563,7062091,3869368,18795,,,15591,443
2005,湖州,6442499,630076.402,3532422.202,2280000.396,9.78,54.83,35.39,25030,257.58,77.81,,0.86,0.04,13.23,10.99,2.24,22,536451,23874.1,14.4,1895,10707901,10295121,,,4160475,65072,397308,440839,2669,95391,4537172,5985909,3309349,16406,,,13811,443
2004,湖州,5906926,647989.782,3236995.448,2021940.77,10.97,54.8,34.23,22966,257.21,76.37,,1.5,0.07,9.99,10.03,2.56,18,401069,22024.66,15.38,1589,7663651,7599839,433430,,3654743,61121,333642,365120,1109,81810,4006753,5273867,2886501,14269,,,12152,442
2003,湖州,4907516,554058.556,2617669.034,1735788.409,11.29,53.34,35.37,19102,256.78,74.47,,-0.36,0.08,5.16,10.03,2.54,14,273205,19971.13,15,1323,5886152,5814643,645166,,2679721,53734,252638,304720,823,66599,3654519,4864162,2605537,12051,,,10978,441
2002,湖州,4225003,514605.365,2285304.123,1425093.512,12.18,54.09,33.73,16454,257.05,72.21,,1.38,0.15,5.89,10.12,,15,245429,16650.54,12.3,1118,4593204,4320850,439544,,1026774,38473,186300,243400,,,,,2147000,9975,,,9491,442
2001,湖州,3850025,505123.28,2073623.465,1270893.252,13.12,53.86,33.01,15031,256.49,70.96,256.1,1.98,0.16,6.89,9.89,,17,215922,13046.65,,983,4095037,3590878,348315,,943135,20972,163400,192300,,,,,1820100,6723,,,7509,441
2000,湖州,3778769,521470.122,2135004.485,1122294.393,13.8,56.5,29.7,,255.79,65.56,,3,0.21,7.92,10.69,,19,194246,10343,12,768,3557451,3222646,290802,,740152,8205,98900,132500,,,,,1602800,3991,,,6772,440
1999,湖州,3426184,500222.864,1935793.96,986740.992,14.6,56.5,28.8,,255.07,60.56,,1.37,0.24,9.17,10.66,,20,182984,9014,9.96,748,3040818,2718453,228191,,517991,6023,70800,104100,,,,,,2373,,,6764,438
1998,湖州,3245411,499793.294,1836902.626,908715.08,15.4,56.6,28,,254.81,58.98,,7.11,0.27,10.33,11.62,,22,179759,8032,11.8,,,2538185,181112,,941753,5040,,,,,,,,1633,,,5700,438
1997,湖州,2961650,493114.725,1663854.97,804680.305,16.65,56.18,27.17,,254.58,54.2,,3.08,66.82,47.52,31.73,,26,192338,7288,11.08,,,2525139,156013,,840495,5543,,,,,,,,1396,,,5941,438
1996,湖州,2679177,466176.798,1481584.881,728736.144,17.4,55.3,27.2,,254.56,51.82,,4.9,66.17,50.07,31.61,,,180996,6776,16.3,,,2493276,146693,,386805,4815,,,,,,,,1379,,,5248,438
1995,湖州,2273113,425072.131,1182018.76,666022.109,18.7,52,29.3,,252.63,50.03,,4.69,66.47,51.93,29.97,,,172612,6268,12.2,,,2373879,122994,,306991,3998,,,,,,,,1559,,,5181,434
1994,湖州,1869530,364528,1014562,490440,19.498,54.268,26.233,,250.95,48.88,,4.8,68.61,51.83,29.36,,,152472,5441.54,,,,1851820,181338,,260819,3800,,,,,,,,1587,,,5518,430
1993,湖州,1284000,,,,,,,,249.37,46.66,,5.1,,,,,,,,,,,,,,154934,,75057,41223,,7877,,,,1240,,,4632,435
1992,湖州,791900,,,,,,,,248.02,45.02,,5.6,,,,,,,,,,,,,,106692,,55628,30437,,6201,,,,,,,4063,432
1991,湖州,605200,184800,283500,136800,30.535,46.844,22.604,2460,246.76,43.95,246,5.46,84.45,43.69,22.37,,,68993,,,,,813615,60327,,51184,307,52220,28328,,,,,,921,,,3347,430
1990,湖州,549900,188500,241400,120000,34.279,43.899,21.822,2247,245.28,43.66,244.7,8.5,86.7,42.2,21.65,,,62431,,,,,665768,46709,,37757,224,50332,25388,,,,,,956,,,3348,428
2022,绍兴,73510000,2433181,35983145,35093674,3.31,48.95,47.74,137522,446,,,,,,,,105,11282254,,4.42,5263,,,,62357657,,,5400896,8048576,418552,1570741,138101235,140506250,,,33181,3500,,
2021,绍兴,67950000,2269530,32283045,33397425,3.34,47.51,49.15,127875,447,,,,,,,,105,10407563,99354,8.73,4944,,,,55410692,,,6038029,7144995,355868,1462258,116735820,120462830,,,38293,4137,,
2020,绍兴,60010000,2190365,27118519,30701116,3.65,45.19,51.16,113746,,,,,,,,,106,8860232,85837,3.26,4561,,,,49249836,,,5435174,6671630,307165,1366574,100956339,107254554,,,35574,3583,,
2019,绍兴,57810000,2081160,27708333,28014726,3.6,47.93,48.46,114561,448,,448,1.49,0.029,76.839,26.079,6.181,99,8009775,80842,7.16,4769,,,,44493261,,65739,5283698,6408697,468932,1314831,85275161,94081554,47232839,,26934,3293,,
2018,绍兴,54168952,1960916.062,26120268.65,26087767.28,3.62,48.22,48.16,107853,447,,447,1.06,0.011,89.71,25.34,6.391,111,8379398,75375,7.09,4584,,,,44743727,,135141,5013379,5566451,315725,1202789,74683142,82269775,40828737,,37288,3254,,
2017,绍兴,50783700,,,,,,,101588,446,,446,2.88,0.012,94.49,25.744,6.028,116,7836846,67489,,4494,,,,45056648,,128666,4313596,4698303,260669,995509,66767606,76575632,36077511,,25741,2118,,
2016,绍兴,47890304,2078439.194,23983464.24,21833189.59,4.34,50.08,45.59,96204,445,,444,2.58,0.016,110.996,25.814,5.787,133,8155143,61394,5.52,4430,98269408,,,51541888,28824824,80031,3903010,4560959,228725,971151,61111742,72633137,34052747,90277,,,,
2015,绍兴,44659653,1987354.558,22530794.94,20141503.5,4.45,50.45,45.1,90003,443.11,,443.1,0.43,0.017,112.675,25.934,5.752,122,7175981,58728,7.13,4352,97463846,,,51408276,25828403,94152,3628935,4214117,209746,935338,59472120,68209613,31130334,83831,,,,535
2014,绍兴,42658839,1940977.174,22135671.56,18582190.27,4.55,51.89,43.56,86136,443,,442.4,2.6,0.027,114.042,25.668,5.722,123,6752428,54764.22,7.5,4231,97353042,,,52140047,23046833,67130,3172705,3464437,184555,779332,58233946,65542219,28061541,80348,,,11583,535
2013,绍兴,39672887,1932069.597,21030597.4,16710220,4.87,53.01,42.12,89758,441.7,,441.3,0.7,0.06,111.53,23.95,5.43,120,6026388,50379.43,8.57,4079,93393104,,,49733050,20019855,80782,2930721,3121077,158729,705628,54478356,63654548,27242485,77532,,,9986,533
2012,绍兴,36540321,1848940.243,19625806.41,15069228.38,5.06,53.71,41.24,82966,440.8,,440.4,0.7,0.05,106.48,24.13,5.57,116,5311926,45615.51,9.75,3682,85512533,,,46208926,17225646,95400,2657555,2787074,132309,672450,49341738,58459494,24920890,59758,,,9547,534
2011,绍兴,33319960,1719309.936,18342637.98,13254680.09,5.16,55.05,39.78,75820,440,,439.5,0.4,0.06,101.88,23.24,5.37,111,4425898,39808.4,10.53,3427,79326832,,,42526030,14262594,80468,2396916,2533091,123294,561261,44630856,55101360,22276697,56455,,,9021,533
2010,绍兴,27952029,1495433.551,15667112.25,10789483.19,5.35,56.05,38.6,63770,438.91,,438.3,0.28,0.03,85.03,22.07,5.2,99,3479430,35124.47,11,5545,67971868,,,38230605,12455609,95327,1932305,2219473,95542,450571,39342663,49483217,19457175,53869,,,9054,530
2009,绍兴,23757754,1244906.31,13610817.27,8902030.424,5.24,57.29,37.47,54316,437.74,,437.4,0.23,0.04,72.87,21.83,5.08,90,2923702,32503.64,9.3,5266,55189053,,,32012470,10550321,81117,1604310,1695366,77951,382071,33637939,41395407,17070064,52898,,,8666,530
2008,绍兴,22229451,1167046.178,13290988.75,7771416.07,5.25,59.79,34.96,50909,437.06,139.97,,0.21,0.05,66.2,19.87,5,78,2381040,30636.13,9,5213,53901974,52968220,,,9157476,84031,1435954,1440939,61925,327857,24612974,32322192,14060403,50258,,,11481,529
2007,绍兴,19720520,1051103.716,11974299.74,6695116.54,5.33,60.72,33.95,45244,436.24,136.32,,1.19,0.04,52.14,18.61,4.87,66,1974258,29953.85,14.3,4428,48690061,47961175,,,8433749,110476,1221169,1137609,44978,261823,20696821,26392686,10868531,44103,,,11178,528
2006,绍兴,16776266,973023.428,10158029.06,5645213.509,5.8,60.55,33.65,38540,435.5,132.24,,0.96,0.05,45.14,17.99,4.68,58,1558329,26914.15,13.2,4032,39108689,38278416,,,7657451,97188,945465,954864,8198,192857,17328046,22671625,10450417,38332,,,10275,528
2005,绍兴,14474700,930723.21,8729691.57,4814285.22,6.43,60.31,33.26,33283,435.09,126.71,,1.97,0.05,41.92,16.97,4.57,57,1402834,24630.06,13.7,3676,32150738,31481179,,,6761274,90095,761326,800388,6681,173222,13992589,18648862,8890981,30702,,,9698,527
2004,绍兴,13138654,922333.511,7867426.015,4348894.474,7.02,59.88,33.1,30254,434.72,121.14,,3.11,0.11,30.87,17.51,4.48,46,984041,21579.85,15.3,3876,25142480,24321912,1316707,,6249471,82344,509208,645049,5512,149057,11767640,15234995,7590618,25034,,,10307,527
2003,绍兴,10892802,824585.111,6448538.784,3619678.105,7.57,59.2,33.23,25115,433.84,103.01,,1.54,0.13,21.9,17.15,4.27,37,732221,19693.95,15,2448,18953957,18490024,1876320,,5350324,74271,504849,570548,3802,126181,9867918,12801778,6649024,19344,,,8032,525
2002,绍兴,9281491,800992.673,5394402.569,3087023.907,8.63,58.12,33.26,21414,433.59,90.91,,2.69,0.17,19.29,16.94,,35,584930,16861.63,13.8,2125,14714046,14211004,1467281,,1690296,38167,396200,451600,,,,,5396000,14290,,,7247,525
2001,绍兴,8225419,804445.978,4779790.981,2641182.041,9.78,58.11,32.11,18997,433.27,85.73,433,3.04,0.19,18.1,16.61,,34,504089,14730.83,,1975,12019285,11545999,1215380,,1451819,15777,355900,373700,,,,,4566600,8880,,,6743,525
2000,绍兴,7797639,779763.9,4725369.234,2292505.866,10,60.6,29.4,,432.69,80.67,,3.51,0.22,19.29,16.95,,37,419482,11461,11.6,1776,10451306,10251617,1047779,,1313155,11598,245400,257600,,,,,3989300,5800,,,6580,521
1999,绍兴,7050648,740318.04,4329097.872,1981232.088,10.5,61.4,28.1,,431.7,77.31,,3.84,0.27,20.83,17.98,,38,390594,10212,11.23,1618,8959160,8431188,815410,,683078,8249,170200,194300,,,,,,3648,,,5640,523
1998,绍兴,6512592,729410.304,3979193.712,1810500.576,11.2,61.1,27.8,,430.04,72.65,,6.92,0.29,22.07,18.59,,40,370293,9168,11.3,,,7221545,641490,,1701775,11789,,,,,,,,2716,,,5614,521
1997,绍兴,5945503,689083.798,3611893.072,1644526.13,11.59,60.75,27.66,,428.94,70.11,,5.31,104.55,118.36,59.18,,46,379970,8342,19.34,,,5226718,466204,,1645175,11481,,,,,,,,2367,,,6849,520
1996,绍兴,5137087,652410.049,3092526.374,1392150.577,12.7,60.2,27.1,,426.84,67.6,,5.95,102.93,115.62,63.73,,,336428,7402,20.4,,,4955559,398234,,466630,13435,,,,,,,,2155,,,6798,540
1995,绍兴,4112082,571579.398,2463137.118,1077365.484,13.9,59.9,26.2,,424.7,65.05,,6.83,113.62,119.49,60.48,,,289166,6715,13.9,,,4206874,314123,,537891,12972,,,,,,,,2313,,,6667,538
1994,绍兴,3078070,472373,1819349,786348,15.346,59.107,25.547,,421.83,62.58,,5.7,113.01,116.73,56.36,,,249571,5898.63,,,,3131663,280366,,673852,11166,,,,,,,,2102,,,6378,532
1993,绍兴,2007700,,,,,,,,419.62,59.91,,6.2,,,,,,,,,,,,,,330091,,155807,77204,,16117,,,,1877,,,6186,531
1992,绍兴,1272500,,,,,,,,417.16,55.47,,5.1,,,,,,,,,,,,,,133922,,115231,55989,,12867,,,,,,,5757,528
1991,绍兴,981600,220400,538900,222300,22.453,54.9,22.647,2371,415.31,53.65,414,6.53,139.17,83.17,34,,,98961,,,,,1277375,131110,,74959,1213,108717,50104,,,,,,1408,,,2781,526
1990,绍兴,823800,197700,435700,190400,23.999,52.889,23.112,2002,412.67,53.61,411.5,7.2,136.69,84.81,33.5,,,88146,,,,,995734,103529,,47073,503,101159,45854,,,,,,1512,,,2743,522
2022,舟山,19510000,1709076,9501370,8299554,8.76,48.7,42.54,167134,95,,,,,,,,18,2336554,,8.5,464,,,,16867587,,,1561472,3542734,109409,381141,36852760,32617115,,,2741,743,,
2021,舟山,17040000,1589832,7540200,7909968,9.33,44.25,46.42,146611,96,,,,,,,,17,2160142,123685,8.4,425,,,,15478215,,,1807000,3361101,94342,364623,32177441,27146898,,,3154,957,,
2020,舟山,15120000,1530144,5899824,7690032,10.12,39.02,50.86,130130,,,,,,,,,19,2017529,108495,12.01,391,,,,10902066,,,1591996,3126851,72132,325608,27032510,24793051,,,2805,863,,
2019,舟山,13720000,1463924,4755352,7496608,10.67,34.66,54.64,116781,97,,97,-1.47,0.047,5.686,12.877,1.653,17,1796972,106441,9.15,376,,,,11655256,,50093,1548600,3233611,74615,360395,24259327,22213094,9716492,,2027,580,,
2018,舟山,13166986,1425984.584,4283220.546,7456464.172,10.83,32.53,56.63,112490,97,,97,-1.57,0.006,5.851,12.28,1.547,17,1635074,98394,6.66,360,,,,9456798,,41762,1460243,3084897,67847,344129,20036760,19868645,8314222,,2216,508,,
2017,舟山,12197800,,,,,,,104882,97,,97,-1.55,0.007,6.102,12.27,1.481,17,1574188,93018,,351,,,,7681804,,40518,1257644,2586044,55548,331707,16936863,19436733,7550242,,1920,501,,
2016,舟山,12411989,1267264.077,5100086.28,6044638.643,10.21,41.09,48.7,107463,97,,97,-0.12,1.2,17.95,27.84,1.53,17,1378804,80311,11.35,375,18721066,,,8246342,13111370,21017,1203248,2505417,58786,291712,14840103,18078318,7158648,24521,,,,
2015,舟山,10928459,1110331.434,4495968.033,5322159.533,10.16,41.14,48.7,95113,97.36,,97.4,-1.35,1.06,17.94,27.6,1.5,17,1284141,74717,9.22,390,16333676,,,7976061,11347553,7792,1127221,2396523,51012,263345,14583839,16942588,6616103,23468,,,,667
2014,舟山,10152567,1009165.16,4252910.316,4890491.524,9.94,41.89,48.17,88746,97.5,,97.4,0.4,0.06,17.9,27.24,1.53,17,1183478,68967.25,10.2,393,14977609,,,8021112,9608783,19962,1010203,1881904,44763,246092,14160290,16027038,5980044,22731,,,22283,670
2013,舟山,9308493,956913.08,4115284.755,4235364.315,10.28,44.21,45.5,95964,97.3,,97.2,,0.03,7.04,11.42,1.46,18,1109090,63304.22,9.1,414,13335566,,,8733534,7500233,20930,926280,1898260,40225,229473,13043704,14702445,5446392,23301,,,21392,669
2012,舟山,8531767,830994.106,3829057.03,3871715.865,9.74,44.88,45.38,87883,97.2,,97.1,,0.03,6.55,11.07,1.43,17,984670,57281.56,10.2,383,11998334,,,8313842,5705986,18339,855627,1552230,34873,213389,12374213,13501001,5036888,22989,,,19985,668
2011,舟山,7727535,760389.444,3491300.313,3475845.243,9.84,45.18,44.98,79765,97,,96.9,-0.7,0.04,6.53,9.53,1.36,15,814748,52905.71,11.3,358,11051733,,,7557488,4760876,10788,764844,1481022,27489,162737,11626588,13149656,4612974,22934,,,17885,674
2010,舟山,6443170,620477.271,2932930.984,2889761.745,9.63,45.52,44.85,66581,96.77,,96.8,-1.21,0.05,6.63,10.12,1.38,16,716934,43635.67,11.3,659,9790517,,,6906867,4138437,6719,610396,1050303,24390,121429,10177248,11432535,4108026,22327,,,14329,672
2009,舟山,5352361,522390.434,2426760.477,2403210.089,9.76,45.34,44.9,55311,96.77,,96.8,-1.03,0.04,6.46,9.28,1.28,14,580553,40569.74,11,596,7905601,,,5430530,4006632,10595,487786,827392,21057,105797,8540188,9439328,3563604,22389,,,10943,672
